Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
login/api/users/login-979,50,649,479,1787,322.53,0.00%,27.77778,9.14,14.46,337
login/api/users/login-980,50,443,326,549,55.92,0.00%,32.78689,97.79,22.96,3054.1
login/api/users/dealerships-984,50,229,151,343,52.09,0.00%,38.46154,12.7,20.24,338
login/api/users/dealerships-985,50,371,158,698,187.99,0.00%,41.11842,31.88,89.98,794
login/api/users/dealerships/1/franchises-986,50,161,145,181,7.44,0.00%,66.9344,22.09,36.08,338
login/api/gshoppers/dashboard/stats?dealershipId=1&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-987,50,161,145,183,7.25,0.00%,65.27415,21.55,39.2,338
login/api/gshoppers/dashboard/graph?dealershipId=1&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-988,50,162,145,189,9.19,0.00%,63.61323,21,38.21,338
login/api/gshoppers/dashboard/stats-989,50,231,164,635,81.55,0.00%,47.93864,20.97,108.46,448
login/api/users/dealerships/1/franchises-990,50,228,171,716,72.34,0.00%,46.72897,15.52,102.85,340
login/api/gshoppers/dashboard/graph-991,50,235,183,646,63.19,0.00%,43.59198,17.24,157,405
"Switch SIT/api/users/dealerships/1/franchises-1,002",50,204,160,240,20.74,0.00%,47.84689,15.89,105.31,340
Switch SIT/api/users/dealerships/1/franchises-993,50,164,148,179,6.32,0.00%,48.59086,16.04,26.19,338
Switch SIT/api/sit/dashboard/graph?days=true&dealershipId=1&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-994,50,163,145,176,6.56,0.00%,48.30918,15.95,29.2,338
Switch SIT/api/sit/dashboard/stats?dealershipId=1&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-995,50,162,147,174,7.35,0.00%,48.26255,15.93,28.7,338
Switch SIT/api/sit/dashboard/heatmap?dealershipId=1&startDate=2023-03-29&endDate=2023-03-29-996,50,161,148,179,6.54,0.00%,48.26255,15.93,28.18,338
Switch SIT/api/sit/dashboard/reasons?dealershipId=1&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-997,50,160,146,179,6.06,0.00%,47.61905,15.72,28.41,338
Switch SIT/api/sit/dashboard/stats-998,50,359,181,816,118.16,0.00%,35.06311,13.8,79.12,403
Switch SIT/api/sit/dashboard/graph-999,50,231,160,300,33.32,0.00%,34.9162,11.18,79.13,328
"Switch SIT/api/sit/dashboard/heatmap-1,000",50,261,175,351,48.47,0.00%,34.31709,15.58,77.07,465
"Switch SIT/api/sit/dashboard/reasons-1,001",50,218,167,327,53.19,0.00%,35.89375,30.25,81.07,863
"Select Dealership/api/users/dealerships/98/franchises-1,007",50,169,148,541,53.85,0.00%,38.40246,12.68,20.74,338
"Select Dealership/api/sit/dashboard/heatmap?dealershipId=98&startDate=2023-03-29&endDate=2023-03-29-1,008",50,161,148,199,8.09,0.00%,41.91115,13.83,24.52,338
"Select Dealership/api/sit/dashboard/stats?dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,009",50,163,147,209,12.63,0.00%,41.70142,13.76,24.84,338
"Select Dealership/api/sit/dashboard/reasons?dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,010",50,166,146,200,12.75,0.00%,41.15226,13.58,24.59,338
"Select Dealership/api/sit/dashboard/graph?days=true&dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,011",50,170,147,531,52.28,0.00%,36.31082,11.99,21.99,338
"Select Dealership/api/sit/dashboard/heatmap-1,012",50,220,161,262,26.67,0.00%,35.01401,44.45,78.67,1300
"Select Dealership/api/sit/dashboard/graph-1,013",50,201,160,233,15.93,0.00%,34.45899,11.04,78.13,328
"Select Dealership/api/sit/dashboard/stats-1,014",50,286,193,369,43.48,0.00%,34.53039,13.59,77.96,403
"Select Dealership/api/sit/dashboard/reasons-1,015",50,206,167,273,26.58,0.00%,35.48616,29.91,80.18,863
"Select Dealership/api/users/dealerships/98/franchises-1,016",50,189,155,464,41.91,0.00%,30.03003,18.09,66.12,617
"click import data tab/api/users/dealerships/98/franchises-1,018",50,162,146,211,10.49,0.00%,29.94012,9.88,16.17,338
"click import data tab/api/gshoppers/templates?pageNumber=1&pageSize=10&dealershipId=98-1,019",50,168,151,272,22.86,0.00%,29.69121,9.8,16.88,338
"click import data tab/api/gshoppers/templates-1,020",50,345,156,1231,200.19,0.00%,18.10938,13.78,40.39,779
"click import data tab/api/users/dealerships/98/franchises-1,021",50,528,151,1690,331.77,0.00%,11.6523,7.02,25.66,617
"click submit button/api/sit?franchiseId=undefined-1,024",50,198,152,569,62.5,0.00%,11.70412,3.86,6.26,338
"click submit button/api/sit?franchiseId=undefined-1,025",50,4761,972,7313,1555.29,2.00%,5.52792,2.17,128.32,401.7
"click call template tab/api/users/dealerships/98/franchises-1,030",50,169,149,540,53.36,0.00%,5.99449,1.98,3.24,338
